Marca,Categoria,Servicio,Subcategoria,Nombre,Descripcion,Precio,Moneda,Caracteristicas
"DOOQ Enterprise","Ciberseguridad","Auditoría de Ciberseguridad","Auditoría","Auditoría de Ciberseguridad","Evaluación de vulnerabilidades informáticas","$2.000.000",COP,"Escaneo de puertos y servicios | Análisis de configuraciones | Informe de riesgos e impactos | Plan de remediación"
"DOOQ Enterprise","Ciberseguridad","Pentesting Ético (Pruebas de Ataque)","Pentesting","Pentesting Ético (Pruebas de Ataque)","Simulación de ataques externos e internos","Desde $5.000.000",COP,"Hacking ético web / app | Pruebas de ingeniería social | Informe técnico ejecutivo | Re-evaluación post-remediación"
