Marca,Categoria,Servicio,Subcategoria,Nombre,Descripcion,Precio,Moneda,Caracteristicas
"DOOQ Enterprise","Consultoría","Consultoría Técnica por Hora","Hora","Consultoría Técnica por Hora","Asesoría puntual con Ingeniero Senior o Arquitecto","$180.000",COP,"Diagnóstico rápido | Revisión de arquitectura | Consultoría vía Meet/Teams | Recomendaciones inmediatas"
"DOOQ Enterprise","Consultoría","Consultoría en Arquitectura TI","Arquitectura Empresarial","Consultoría en Arquitectura TI","Diseño de hojas de ruta de tecnología a largo plazo","Desde $8.000.000",COP,"Evaluación de infraestructura | Plan de modernización de legado | Definición de estándares TI | Selección de tecnologías"
