Marca,Categoria,Servicio,Subcategoria,Nombre,Descripcion,Precio,Moneda,Caracteristicas
"BFriends & BFriends Edu","","mood-ai","","","","",COP,"Recordatorios de autocuidado"
"BFriends & BFriends Edu","","therapy","","","","",COP,"Facturación electrónica"
"BFriends & BFriends Edu","","marketplace-psico","","","","",COP,"Reserva en línea"
"BFriends & BFriends Edu","","bfriends-edu","","","","",COP,"Dashboard de bienestar institucional"
"BFriends & BFriends Edu","","bfriends-school-start","","","","",COP,"Dashboard de bienestar"
"BFriends & BFriends Edu","","bfriends-school-plus","","","","",COP,"Soporte prioritario"
"BFriends & BFriends Edu","","bfriends-school-premium","","","","",COP,"Asesor dedicado"
