Marca,Categoria,Servicio,Subcategoria,Nombre,Descripcion,Precio,Moneda,Caracteristicas
"DOOQ Enterprise","Redes","Instalación & Config Router","Instalación Router","Instalación & Config Router","Configuración avanzada de equipos MikroTik, Cisco, Ubiquiti","$180.000",COP,"Segmentación VLANs | Calidad de Servicio QoS | Seguridad Wi-Fi | Reglas NAT"
"DOOQ Enterprise","Redes","Firewall Perimetral","Firewall","Firewall Perimetral","Protección contra intrusiones Fortinet / SonicWall / pfSense","Desde $950.000",COP,"Filtrado de contenido web | Prevención de intrusos IPS | Control de aplicaciones | VPN SSL"
"DOOQ Enterprise","Redes","VPN Corporativa Site-to-Site","VPN","VPN Corporativa Site-to-Site","Conexión segura entre sedes y teletrabajadores","$650.000",COP,"Encriptación IPsec / WireGuard | Acceso remoto seguro | Autenticación 2FA | Monitoreo de túnele"
"DOOQ Enterprise","Redes","Cableado Estructurado Cat6 / 6A","Cableado","Cableado Estructurado Cat6 / 6A","Puntos de red certificados para voz y datos","Desde $35.000 por punto",COP,"Certificación de punto de red | Organización de rack | Patch panels | Garantía de instalación"
"DOOQ Enterprise","Redes","WiFi Empresarial Ubiquiti / Aruba","WiFi Empresarial","WiFi Empresarial Ubiquiti / Aruba","Redes inalámbricas de alta densidad sin puntos ciegos","Desde $1.500.000",COP,"Roaming transparente | Portal cautivo de invitados | Análisis de espectro | Gestión centralizada"
