Marca,Categoria,Servicio,Subcategoria,Nombre,Descripcion,Precio,Moneda,Caracteristicas
"DOOQ Enterprise","Marketing Digital","Plan Marketing Start","Plan Start","Plan Marketing Start","Posicionamiento inicial de marca","$850.000",COP,"SEO básico | Gestión de Google Ads | 2 Redes sociales (Meta) | Reporte mensual de rendimiento"
"DOOQ Enterprise","Marketing Digital","Plan Marketing Growth","Plan Growth","Plan Marketing Growth","Crecimiento de prospectos y leads cualificados","$1.800.000",COP,"Campañas en Facebook/Instagram/TikTok | Copywriting estratégico | Email marketing | Diseño de piezas publicitarias"
